mode,preset,link,primitive_count,vertex_worst_signed_distance_m,surface_sample_count,surface_worst_signed_distance_m,surface_p95_signed_distance_m,surface_uncovered_fraction,random_seed
convex,default,fr3_link0,1,0.001038214525768702,12000,2.7755575615628914e-17,0.0,0.0,20260705
convex,default,fr3_link1,1,0.0006400175448499218,12000,5.551115123125783e-17,0.0,0.0,20260705
convex,default,fr3_link2,1,0.0013347042804302614,12000,2.7755575615628914e-17,0.0,0.0,20260705
convex,default,fr3_link3,1,0.001431170760531092,12000,2.7755575615628914e-17,0.0,0.0,20260705
convex,default,fr3_link4,1,0.0013086621516713998,12000,2.7755575615628914e-17,1.3877787807814457e-17,0.0,20260705
convex,default,fr3_link5,1,0.005554378032684326,12000,5.551115123125783e-17,0.0,0.0,20260705
convex,default,fr3_link6,1,0.0007434246460536267,12000,5.551115123125783e-17,0.0,0.0,20260705
convex,default,fr3_link7,1,0.002051548685878854,12000,5.551115123125783e-17,0.0,0.0,20260705
convex,default,hand_hand,1,nan,12000,2.7755575615628914e-17,0.0,0.0,20260705
convex,default,hand_leftfinger,1,nan,10470,1.734723475976807e-18,0.0,0.0,20260705
convex,default,hand_rightfinger,1,nan,10470,3.469446951953614e-18,0.0,0.0,20260705
sphere,single,fr3_link0,1,0.0009755424861653816,12000,0.0005410040556259321,-0.007823916752748213,0.0006666666666666666,20260705
sphere,single,fr3_link1,1,0.0008983200754237863,12000,0.00072430810146773,-0.008037950273298625,0.0004166666666666667,20260705
sphere,single,fr3_link2,1,0.00197867799580001,12000,0.000698370708311663,-0.00857436419841186,0.00075,20260705
sphere,single,fr3_link3,1,0.0008878857289919273,12000,0.0006951667203570766,-0.007439250535212228,0.0005833333333333334,20260705
sphere,single,fr3_link4,1,0.0012111967411047309,12000,0.00018123175716744377,-0.007502281487202292,0.00016666666666666666,20260705
sphere,single,fr3_link5,1,0.0008434911678794621,12000,0.0006449562505578266,-0.008290294075349331,0.0005,20260705
sphere,single,fr3_link6,1,0.00027326562191645754,12000,6.619174706332109e-06,-0.0030950316744822906,8.333333333333333e-05,20260705
sphere,single,fr3_link7,1,0.00029198427973869956,12000,5.269420975015371e-05,-0.0043086987214570145,0.00016666666666666666,20260705
sphere,single,hand_hand,1,nan,12000,0.00020723159562573146,-0.0059913254625566775,0.0004166666666666667,20260705
sphere,single,hand_leftfinger,1,nan,10470,0.06479586093889013,0.056616972201085275,0.7640878701050621,20260705
sphere,single,hand_rightfinger,1,nan,10470,0.0642128399471871,0.05557990751749591,0.7580706781279847,20260705
sphere,default,fr3_link0,7,0.0013902948517222624,12000,0.0015859760882437346,-0.004369273695166936,0.0035,20260705
sphere,default,fr3_link1,6,0.001421010883859597,12000,0.0009811653838390638,-0.0017702472636136964,0.01175,20260705
sphere,default,fr3_link2,6,0.002031756065816709,12000,0.0008740135367798219,-0.0014087732034785707,0.016666666666666666,20260705
sphere,default,fr3_link3,8,0.0013937449279320321,12000,0.001086753372773669,-0.0026598654685350575,0.008583333333333333,20260705
sphere,default,fr3_link4,8,0.0020396512261189326,12000,0.0010576432181513828,-0.001487523778918555,0.008833333333333334,20260705
sphere,default,fr3_link5,8,0.0017829691362668126,12000,0.0017053202390776012,-0.0017449841591042372,0.011166666666666667,20260705
sphere,default,fr3_link6,8,0.003057751043566266,12000,0.0008392298472487472,-0.0023453576855636967,0.007416666666666667,20260705
sphere,default,fr3_link7,8,0.000775665262073788,12000,0.0008406368679530485,-0.0019952425525731157,0.0019166666666666666,20260705
sphere,default,hand_hand,8,nan,12000,0.0016118129531500353,-0.0031379798402117825,0.0026666666666666666,20260705
sphere,default,hand_leftfinger,7,nan,10470,0.08970527191185398,0.08382195747574657,0.9098376313276026,20260705
sphere,default,hand_rightfinger,8,nan,10470,0.09045429460340695,0.08318342769650836,0.9128939828080229,20260705
capsule,single,fr3_link0,3,-0.006167596393821778,12000,-0.0002727141754410578,-0.014032577670707362,0.0,20260705
capsule,single,fr3_link1,3,0.00019789681235378442,12000,-2.2802421131354333e-05,-0.004912207518308583,0.0,20260705
capsule,single,fr3_link2,3,0.0008416681876668997,12000,-0.0001297137077948124,-0.004420273982872818,0.0,20260705
capsule,single,fr3_link3,3,1.9810966179270584e-05,12000,-0.00014242160875953258,-0.006196631777102382,0.0,20260705
capsule,single,fr3_link4,3,0.000686598547880321,12000,-0.00019023812396662398,-0.006630775352297767,0.0,20260705
capsule,single,fr3_link5,3,-5.2767039899995205e-05,12000,-0.00023734959466534256,-0.005817882918041991,0.0,20260705
capsule,single,fr3_link6,3,0.00015816307603896962,12000,-9.975207628602767e-05,-0.009699746295317294,0.0,20260705
capsule,single,fr3_link7,3,-8.580685308817726e-07,12000,-2.399010594419243e-05,-0.004415073517757491,0.0,20260705
capsule,single,hand_hand,3,nan,12000,-6.851372591205884e-05,-0.003719891917626508,0.0,20260705
capsule,single,hand_leftfinger,3,nan,10470,0.08529348154930967,0.07978450991587457,0.8659025787965616,20260705
capsule,single,hand_rightfinger,3,nan,10470,0.08545374905814225,0.07932999969788028,0.8671442215854823,20260705
capsule,default,fr3_link0,3,-9.342169778268905e-05,12000,-0.00047273033460397407,-0.01610014521002896,0.0,20260705
capsule,default,fr3_link1,3,0.0003266108870206563,12000,-4.6517639513493636e-05,-0.008371623591910618,0.0,20260705
capsule,default,fr3_link2,3,0.0009340238387200578,12000,-0.0001946727271886356,-0.007707469293079736,0.0,20260705
capsule,default,fr3_link3,3,-0.0005378000537128308,12000,-0.00032390397306293617,-0.007753032335160129,0.0,20260705
capsule,default,fr3_link4,3,0.0006467081317152457,12000,-0.00012016869511048689,-0.007815631792051093,0.0,20260705
capsule,default,fr3_link5,9,8.676446258411297e-05,12000,-4.236861344196485e-05,-0.0028153165007062824,0.0,20260705
capsule,default,fr3_link6,6,9.319934100104899e-05,12000,-0.0001303718144293753,-0.010055842927722236,0.0,20260705
capsule,default,fr3_link7,6,5.221611609200483e-05,12000,-0.00020147843544784244,-0.0061715013351958566,0.0,20260705
capsule,default,hand_hand,3,nan,12000,-4.934714987679667e-05,-0.0036500229389936556,0.0,20260705
capsule,default,hand_leftfinger,9,nan,10470,0.0872049414403895,0.08201003037200995,0.8564469914040115,20260705
capsule,default,hand_rightfinger,9,nan,10470,0.08736799273848764,0.08148984107800085,0.8583572110792741,20260705
capsule,high_detail,fr3_link0,6,-0.0026860462438869914,12000,-0.0008914819225036147,-0.014471226044902823,0.0,20260705
capsule,high_detail,fr3_link1,6,0.00036961321452974594,12000,-0.0004197231894883108,-0.008484140151739147,0.0,20260705
capsule,high_detail,fr3_link2,6,0.0006358200817457721,12000,-0.00012831876855541602,-0.007987499755941922,0.0,20260705
capsule,high_detail,fr3_link3,3,-0.0010180112908792782,12000,-0.0002525953962455585,-0.008455727699734454,0.0,20260705
capsule,high_detail,fr3_link4,3,0.0002263735304726261,12000,-0.0001795236396948674,-0.009374883089438386,0.0,20260705
capsule,high_detail,fr3_link5,12,0.00014144443196134615,12000,-4.076999442567675e-05,-0.0028587490124434086,0.0,20260705
capsule,high_detail,fr3_link6,6,6.762026276317668e-05,12000,-0.00025779068203257705,-0.011818888641856679,0.0,20260705
capsule,high_detail,fr3_link7,6,3.734255450916352e-05,12000,-0.00015372406995869947,-0.005211976855206271,0.0,20260705
capsule,high_detail,hand_hand,3,nan,12000,-0.00022687616983617376,-0.004234909438194121,0.0,20260705
capsule,high_detail,hand_leftfinger,9,nan,10470,0.08777228861096363,0.08252655810719067,0.8576886341929322,20260705
capsule,high_detail,hand_rightfinger,9,nan,10470,0.08794277592899828,0.08199936194375766,0.8591212989493792,20260705
